
2024/04/23 (13:41:15) | ===> btop++ v.1.3.2
2024/04/23 (13:41:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/23 (18:49:22) | ===> btop++ v.1.3.2
2024/04/23 (18:49:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/24 (21:13:43) | ===> btop++ v.1.3.2
2024/04/24 (21:13:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/26 (10:25:00) | ===> btop++ v.1.3.2
2024/04/26 (10:25:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/26 (10:31:44) | ===> btop++ v.1.3.2
2024/04/26 (10:31:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/18 (16:57:25) | ===> btop++ v.1.3.2
2024/07/18 (16:57:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/21 (20:35:39) | ===> btop++ v.1.3.2
2024/07/21 (20:35:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/22 (16:13:40) | ===> btop++ v.1.3.2
2024/07/22 (16:13:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/22 (16:15:39) | ===> btop++ v.1.3.2
2024/07/22 (16:15:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/24 (14:11:50) | ===> btop++ v.1.4.0
2024/12/24 (14:11:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
